1,Andhra Pradesh,2,2.3,2.9,3.5,4.5,5.3,4.1
2,Arunachal Pradesh,2.2,10.2,6.7,3.9,5.8,7.7,5.7
3,Assam,4.6,4.3,2.9,4,7.9,6.7,4.1
4,Bihar,3.4,5.8,5.6,4.4,7,9.8,4.6
5,Chhattisgarh,1.4,1.3,2.1,1.2,3.3,2.4,2.5
6,Goa,4.9,9.9,9.6,9,13.9,8.7,10.5
7,Gujarat,0.5,2.3,0.8,0.6,4.8,3.2,2.2
8,Haryana,2.9,4.3,2.9,3.3,8.4,9.3,6.3
9,Himachal Pradesh,1.3,2.8,1.8,10.2,5.5,5.1,3.3
10,Jharkhand,2.6,5.9,1.8,2.2,7.5,5.2,3.1
11,Karnataka,1.6,1.8,1.7,1.4,4.8,3.6,2.7
12,Kerala,6.6,9.6,9.3,10.6,11.4,9,10.1
13,Madhya Pradesh,0.9,1.8,2.3,3,4.3,3.5,1.9
14,Maharashtra,1.3,3.2,2.2,1.5,4.8,5,3.7
15,Manipur,3.7,2.2,3.4,3.4,11.5,9.4,5.6
16,Meghalaya,0.8,3.5,2.6,4,1.6,2.7,1.7
17,Mizoram,3.2,2.2,2,1.5,10.1,7,3.5
18,Nagaland,17.7,6.2,6.7,5.6,21.4,17.4,19.2
19,Odisha,2.4,5.1,4.3,3.8,7.1,7,5.3
20,Punjab,2.2,4.7,5.4,5.8,7.7,7.4,6.2
21,Rajasthan,1.2,2.3,3.1,2.5,5,5.7,4.7
22,Sikkim,1.2,12.2,7.1,8.9,3.5,3.1,1.1
23,Tamil Nadu,2.3,3.6,3.3,3.8,7.5,6.6,5.2
24,Telangana,2.4,2.4,3.1,2.7,7.6,8.3,4.9
25,Tripura,12.8,8.4,6.2,10,6.8,10,3.2
26,Uttarakhand,3.1,4.5,5.5,6.1,7.6,8.9,6.9
27,Uttar Pradesh,1.6,4.9,4,5.8,6.2,5.7,4.2
28,West Bengal,3.3,5.9,4.2,3.6,4.6,3.8,3.5
